name.vec;alternative;by_removal;n_removal;by_fertility;n_fertility;predation;rate;Er;Ef;Rm;ext50;Re;Erf;ETI;MTI
v2026;rf;2;100;0;0;With predation;Max;4,84;0;0,0106089539571398;1;84;4,84;51,7703089606323;0,00653843838226489
v2026;rf;2;100;0;0;With predation;Mean;4,44;0;0,0105468898313136;1;85,848;4,44;55,0685234471838;0,00676546512406296
v2026;rf;2;100;0;0;Without predation;Max;7,56;0;0,0107781849536538;1;72;7,56;33,8069404110816;0,00506079800649708
v2026;rf;2;100;0;0;Without predation;Mean;6,28;0;0,0107166468641207;1;74,82;6,28;39,9282953386337;0,00571902487343564
v2026;rf;5;25;0;0;With predation;Max;4;0;0,0130718954248366;1;22;4;14,7470410127841;0,00876235354294953
v2026;rf;5;25;0;0;With predation;Mean;2,62;0;0,0122363841963949;1;48,144;2,62;37,0473387253775;0,00941603252944704
v2026;rf;5;25;0;0;Without predation;Max;5;0;0,0029956263854772;0;0;5;0;0,00181693924783606
v2026;rf;5;25;0;0;Without predation;Mean;5;0;0,00393546315522736;0;0;5;0;0,00238697906381481
v2026;rf;5;50;0;0;With predation;Max;4,36;0;0,0117150890346767;1;54;4,36;34,9173572005137;0,00757518423073385
v2026;rf;5;50;0;0;With predation;Mean;3,42;0;0,0114980217593141;1;64,716;3,42;45,9708944159591;0,00816759911443583
v2026;rf;5;50;0;0;Without predation;Max;10;0;0,00320163923929052;0;0;10;0;0,00117781725418276
v2026;rf;5;50;0;0;Without predation;Mean;10;0;0,00519631584012461;0;0;10;0;0,00191161776741536
v2026;rf;5;75;0;0;With predation;Max;4,72;0;0,0113071008593397;1;64;4,72;39,9202248267361;0,00705284388192847
v2026;rf;5;75;0;0;With predation;Mean;3,82;0;0,011180435959063;1;71,888;3,82;49,0632043848291;0,00763059223474016
v2026;rf;5;75;0;0;Without predation;Max;15;0;0,00355239786856128;0;0;15;0;0,000792647105323019
v2026;rf;5;75;0;0;Without predation;Mean;10,92;0;0,0106419785668345;0,75;12,516;10,92;4,1996778745263;0,00357085985365276
v2026;rf;5;100;0;0;With predation;Max;4,66;0;0,0110570544007077;1;70;4,66;43,9255098833139;0,00693838217655179
v2026;rf;5;100;0;0;With predation;Mean;4,16;0;0,0108878081650236;1;76,268;4,16;50,3124948693034;0,00718247223528491
v2026;rf;5;100;0;0;Without predation;Max;20;0;0,00478560490045942;0;0;20;0;0,000647661194662197
v2026;rf;5;100;0;0;Without predation;Mean;8,06;0;0,0116276673621083;1;39,708;8,06;17,7352232939567;0,00519339370038389
v2026;rf + f;1;12;1;12;With predation;Max;4,24;4,22;0,0111333778668448;1;64;8,46;27,4641929958165;0,00477764435047464
v2026;rf + f;1;12;1;12;With predation;Mean;3,32;3,28;0,0111092034075319;1;71,3;6,6;36,8515001492582;0,0057418066063226
v2026;rf + f;1;12;1;12;Without predation;Max;11,76;11,76;0,00333800654249282;0;0;23,52;0;0,000317706837914238
v2026;rf + f;1;12;1;12;Without predation;Mean;11,02;8,4;0,00799830078085612;0,388;6,288;19,42;0,901805021346452;0,00114709093613475
v2026;rf + f;1;25;1;25;With predation;Max;4,52;4,42;0,0106746370623399;1;80;8,94;32,7213128489126;0,00436610173581776
v2026;rf + f;1;25;1;25;With predation;Mean;3,94;4;0,0106916002548814;1;82,296;7,94;37,2005112263589;0,00483295658731235
v2026;rf + f;1;25;1;25;Without predation;Max;11,06;10,78;0,00956754688097972;1;54;21,84;6,07987445286033;0,00107721266404097
v2026;rf + f;1;25;1;25;Without predation;Mean;6,5;7,22;0,0103525194901344;1;71,248;13,72;18,0684396140074;0,00262539121463519
v2026;rf + f;1;37;1;37;With predation;Max;4,64;4,52;0,0105507491031863;1;84;9,16;33,6097700111296;0,00422152679527647
v2026;rf + f;1;37;1;37;With predation;Mean;4,18;3,88;0,0105713105374368;1;86,132;8,06;38,4700879609922;0,00472158136625363
v2026;rf + f;1;37;1;37;Without predation;Max;7,36;7,02;0,0102796052631579;1;78;14,38;18,5173628929431;0,00244039975710388
v2026;rf + f;1;37;1;37;Without predation;Mean;5,78;5,3;0,0104244109184679;1;81,236;11,08;26,8256494452453;0,00344233582367433
v2026;rf + f;1;50;1;50;With predation;Max;4,7;4,5;0,010501995379122;1;88;9,2;35,0696756154373;0,0041852451279617
v2026;rf + f;1;50;1;50;With predation;Mean;4,32;4,1;0,0105066268478205;1;88,484;8,42;38,1231513552292;0,00452675879879273
v2026;rf + f;1;50;1;50;Without predation;Max;6,4;5,94;0,0103648424543947;1;84;12,34;24,4545623780712;0,00301747245642709
v2026;rf + f;1;50;1;50;Without predation;Mean;5,5;5,5;0,0104027444759171;1;85,792;11;28,5576760126256;0,00346277282713274
v2026;rf + f;2;12;2;12;With predation;Max;3,84;3,84;0,0122669283611384;1;36;7,68;16,7018407592993;0,00569111900259627
v2026;rf + f;2;12;2;12;With predation;Mean;2,68;2,76;0,0118402124846982;1;55,468;5,44;32,1948427890267;0,00687231880604186
v2026;rf + f;2;12;2;12;Without predation;Max;6;6;0,00305885231861006;0;0;12;0;0,000921308613459569
v2026;rf + f;2;12;2;12;Without predation;Mean;6;6;0,00416676312439364;0;0;12;0;0,00125500493547657
v2026;rf + f;2;25;2;25;With predation;Max;4,3;4,26;0,0111209964412811;1;64;8,56;27,1909197095632;0,00472484564570644
v2026;rf + f;2;25;2;25;With predation;Mean;3,44;3,34;0,0111162360275346;1;72,156;6,78;36,6286397722101;0,00564294868168176
v2026;rf + f;2;25;2;25;Without predation;Max;12,5;12,5;0,00339097999321804;0;0;25;0;0,000278348588076971
v2026;rf + f;2;25;2;25;Without predation;Mean;10,92;12,5;0,00875642548489146;0,63;11,6;23,42;1,11516803557886;0,000841800500575779
v2026;rf + f;2;37;2;37;With predation;Max;4,44;4,38;0,0108908734480505;1;74;8,82;30,6326089404743;0,00450832253181521
v2026;rf + f;2;37;2;37;With predation;Mean;3,8;3,86;0,0108761821157968;1;78,38;7,66;36,4364188666164;0,0050559980510433
v2026;rf + f;2;37;2;37;Without predation;Max;18,5;18,5;0,00437254044599913;0;0;37;0;0,000108104619459289
v2026;rf + f;2;37;2;37;Without predation;Mean;7,38;6,46;0,0103477994462239;1;57,912;13,84;14,5112558962229;0,0025928920729201
v2026;rf + f;2;50;2;50;With predation;Max;4,58;4,5;0,0107898144151921;1;78;9,08;31,4597460892353;0,00435185669040915
v2026;rf + f;2;50;2;50;With predation;Mean;4,04;4,14;0,0107271636185943;1;82,36;8,18;36,3465715635359;0,00473404104100287
v2026;rf + f;2;50;2;50;Without predation;Max;10,26;9,84;0,00996810207336523;1;58;20,1;7,77134313079069;0,00133561278577357
v2026;rf + f;2;50;2;50;Without predation;Mean;6,36;5,62;0,0105339751167292;1;72,408;11,98;21,852531883965;0,00317912422803032
v2026;rf + f;5;12;5;12;With predation;Max;2,4;2,4;0,0148676776687481;0;0;4,8;0;0,00919987201614837
v2026;rf + f;5;12;5;12;With predation;Mean;1,78;1,92;0,0134554646303989;1;29,572;3,7;20,4263956256079;0,00929415135489319
v2026;rf + f;5;12;5;12;Without predation;Max;2,4;2,4;0,00295455888435857;0;0;4,8;0;0,00182823196775436
v2026;rf + f;5;12;5;12;Without predation;Mean;2,4;2,4;0,00374024552522345;0;0;4,8;0;0,00231440181228551
v2026;rf + f;5;25;5;25;With predation;Max;3,8;3,8;0,0129802699896158;1;26;7,6;12,1593271022576;0,00607043648766757
v2026;rf + f;5;25;5;25;With predation;Mean;2,6;2,5;0,0122182263029435;1;50,1;5,1;30,0848284984945;0,00733699087584531
v2026;rf + f;5;25;5;25;Without predation;Max;5;5;0,0030517578125;0;0;10;0;0,00112267895865308
v2026;rf + f;5;25;5;25;Without predation;Mean;5;5;0,00407563128787507;0;0;10;0;0,00149934096060433
