name.vec;removal_type;by_removal;n_removal;by_fertility;n_fertility;puma;tasa;Er;Ef;Rm;ext50;Re;Erf;IER;IEM
vlowdensity;proportional;2;12;2;12;with;max;1,54;1,54;0,0121418164157358;1;74;3,08;24,025974025974;0,00394214818692721
vlowdensity;proportional;2;12;2;12;without;mean;2,7;2,86;0,0149033804337519;0,998;55;5,56;9,89208633093525;0,00268046410678991
vlowdensity;proportional;2;12;2;12;without;max;6;6;0,00517384105960265;0;0;12;0;0,000431153421633554
vlowdensity;proportional;2;25;2;25;with;mean;1,46;1,36;0,0111535231736839;1;89,516;2,82;31,7432624113475;0,00395515006159004
vlowdensity;proportional;2;25;2;25;with;max;1,6;1,6;0,011258725512272;1;86;3,2;26,875;0,003518351722585
vlowdensity;proportional;2;25;2;25;without;mean;1,92;1,88;0,011452535731652;1;85,384;3,8;22,4694736842105;0,00301382519254
vlowdensity;proportional;2;25;2;25;without;max;2,4;2,26;0,0118035882908404;1;82;4,66;17,5965665236052;0,00253295886069537
vlowdensity;proportional;2;37;2;37;with;mean;1,5;1,44;0,0109601375962815;1;91,768;2,94;31,2136054421769;0,00372793795791889
vlowdensity;proportional;2;37;2;37;with;max;1,64;1,62;0,0110204981265153;1;90;3,26;27,6073619631902;0,00338052089770409
vlowdensity;proportional;2;37;2;37;without;mean;1,8;1,64;0,0110914173192697;1;90;3,44;26,1627906976744;0,00322424922071793
vlowdensity;proportional;2;37;2;37;without;max;2;1,82;0,0111607142857143;1;90;3,82;23,5602094240838;0,00292165295437547
vlowdensity;proportional;2;50;2;50;with;mean;1,54;1,54;0,0108827091055129;1;94;3,08;30,5194805194805;0,0035333471121795
vlowdensity;proportional;2;50;2;50;with;max;1,64;1,58;0,0109027474923681;1;94;3,22;29,1925465838509;0,00338594642620127
vlowdensity;proportional;2;50;2;50;without;mean;1,78;1,56;0,0109278257421346;1;94;3,34;28,1437125748503;0,00327180411441156
vlowdensity;proportional;2;50;2;50;without;max;1,92;1,62;0,0109505037231713;1;94;3,54;26,5536723163842;0,0030933626336642
vlowdensity;proportional;5;12;5;12;with;mean;0,94;0,96;0,0125238676313045;1;64,456;1,9;33,9242105263158;0,00659150927963392
vlowdensity;proportional;5;12;5;12;with;max;1,3;1,3;0,0143102461362335;1;48;2,6;18,4615384615385;0,00550394082162829
vlowdensity;proportional;5;12;5;12;without;mean;2,4;2,4;0,00875490380957565;0;0;4,8;0;0,00182393829366159
vlowdensity;proportional;5;12;5;12;without;max;2,4;2,4;0,00394383972235368;0;0;4,8;0;0,000821633275490351
vlowdensity;proportional;5;25;5;25;with;mean;1,26;1,2;0,0116596288831614;1;78;2,46;31,7073170731707;0,00473968653787049
vlowdensity;proportional;5;25;5;25;with;max;1,5;1,48;0,0120510966497951;1;74;2,98;24,8322147651007;0,00404399216436078
vlowdensity;proportional;5;25;5;25;without;mean;2,72;2,48;0,01570342881417;0,99;49,164;5,2;9,45461538461539;0,00301989015657115
vlowdensity;proportional;5;25;5;25;without;max;5;5;0,00501907247540654;0;0;10;0;0,000501907247540654
vlowdensity;proportional;5;37;5;37;with;mean;1,4;1,32;0,0112619271048749;1;87,828;2,72;32,2897058823529;0,00414041437679223
vlowdensity;proportional;5;37;5;37;with;max;1,48;1,44;0,0113869278068777;1;80;2,92;27,3972602739726;0,00389963281057456
vlowdensity;proportional;5;37;5;37;without;mean;2;1,7;0,0118938231972255;1;77,396;3,7;20,9178378378378;0,00321454681006093
vlowdensity;proportional;5;37;5;37;without;max;2,96;2,64;0,0130446125750065;1;68;5,6;12,1428571428571;0,00232939510267974
vlowdensity;proportional;5;50;5;50;with;mean;1,44;1,38;0,0110842417635466;1;88;2,82;31,2056737588652;0,00393058218565481
vlowdensity;proportional;5;50;5;50;with;max;1,58;1,48;0,0111557340473003;1;88;3,06;28,7581699346405;0,00364566472133997
vlowdensity;proportional;5;50;5;50;without;mean;1,88;1,58;0,01126708756967;1;87,884;3,46;25,4;0,00325638369065608
vlowdensity;proportional;5;50;5;50;without;max;2,08;1,72;0,0114678899082569;1;78;3,8;20,5263157894737;0,00301786576533076
